N,P,K,Temperature,Humidity,pH,Rainfall,Crop,Mixed_Crops,Organic_Fertilizer,Biopesticide,Agroforestry_Tree
72,59,30,39.6,70.5,6.7,1451.1,lentil,Lentil+Mustard,Bio-slurry,Panchagavya Extract,Sesbania
125,106,66,15.6,60.4,4.6,1386.3,papaya,Papaya+Drumstick,Panchagavya,Trichoderma,Neem
127,10,40,28.4,34.0,6.3,383.7,chickpea,Wheat+Gram,Forest Leaf Compost,Panchagavya Extract,Acacia
29,112,8,33.3,75.0,6.0,1101.7,banana,Banana+Coffee,Jeevamrutha,Neem Oil,Subabul
45,45,69,32.5,55.6,7.7,998.7,maize,Maize+Beans,Vermicompost,Beauveria Bassiana,Casuarina
24,8,14,27.7,30.3,4.8,252.1,papaya,Papaya+Drumstick,Panchagavya,Neem Oil,Gliricidia
50,39,59,28.6,34.3,6.4,916.1,mungbean,Mungbean+Sorghum,Vermicompost,Trichoderma,Neem
60,71,52,25.1,65.2,7.1,315.2,pomegranate,Pomegranate+Marigold,Jeevamrutha,Panchagavya Extract,Acacia
36,30,64,35.6,53.2,5.2,225.8,muskmelon,Muskmelon+Beans,Neem Cake,Bt Spray,Acacia
33,106,6,39.1,74.6,8.1,317.6,orange,Orange+Spices,Bio-slurry,Panchagavya Extract,Acacia
72,48,161,38.8,43.9,5.0,1552.2,rice,Rice+Sesbania,Jeevamrutha,Garlic-Chili Extract,Leucaena
64,89,101,17.2,78.3,6.6,962.6,cotton,Cotton+Turmeric,Neem Cake,Beauveria Bassiana,Sesbania
20,55,106,30.3,38.6,7.0,1575.4,mothbeans,Mothbean+Castor,Vermicompost,Pseudomonas,Gliricidia
29,77,110,36.5,39.2,7.9,234.1,pomegranate,Pomegranate+Marigold,Panchagavya,Beauveria Bassiana,Casuarina
50,45,174,20.0,68.6,6.2,755.8,blackgram,Blackgram+Maize,Jeevamrutha,Garlic-Chili Extract,Leucaena
33,10,70,25.8,64.4,6.5,1522.9,kidneybeans,Beans+Maize,Green Manure,Neem + Soap,Casuarina
93,62,137,38.8,49.3,7.6,1029.9,grapes,Grapes+Legumes,Green Manure,Panchagavya Extract,Acacia
31,83,10,19.5,64.0,6.3,267.6,coconut,Coconut+Pineapple,Vermicompost,Beauveria Bassiana,Sesbania
51,51,131,34.9,67.2,5.5,815.2,jute,Jute+Rice,Forest Leaf Compost,Trichoderma,Leucaena
127,71,135,28.2,68.7,8.3,1488.7,apple,Apple+Medicinal Plants,Forest Leaf Compost,Neem + Soap,Leucaena
77,36,144,32.1,65.4,4.9,1866.6,mungbean,Mungbean+Sorghum,Vermicompost,Trichoderma,Leucaena
102,64,176,28.5,61.8,5.8,1106.3,apple,Apple+Medicinal Plants,Farmyard Manure,Pseudomonas,Casuarina
112,106,136,27.4,60.3,6.1,322.7,mango,Mango+Turmeric,Green Manure,Bt Spray,Gliricidia
77,69,45,19.3,67.6,6.2,1726.4,grapes,Grapes+Legumes,Bio-slurry,Panchagavya Extract,Acacia
101,59,79,25.2,67.6,8.4,341.5,coconut,Coconut+Pineapple,Jeevamrutha,Beauveria Bassiana,Casuarina
27,98,197,18.1,35.4,7.3,1950.6,pomegranate,Pomegranate+Marigold,Jeevamrutha,Panchagavya Extract,Casuarina
110,82,124,22.7,55.1,8.2,505.5,banana,Banana+Coffee,Green Manure,Bt Spray,Gliricidia
73,35,170,25.4,80.6,7.6,1854.1,orange,Orange+Spices,Forest Leaf Compost,Beauveria Bassiana,Sesbania
22,99,36,21.4,40.1,7.7,1859.8,papaya,Papaya+Drumstick,Bio-slurry,Garlic-Chili Extract,Drumstick
47,42,131,22.0,87.4,6.9,1249.7,maize,Maize+Beans,Forest Leaf Compost,Beauveria Bassiana,Casuarina
64,85,63,18.0,73.8,7.7,1607.1,coconut,Coconut+Pineapple,Vermicompost,Trichoderma,Neem
47,20,191,19.9,61.5,6.8,436.1,grapes,Grapes+Legumes,Forest Leaf Compost,Trichoderma,Leucaena
80,94,24,25.9,34.6,6.6,382.3,papaya,Papaya+Drumstick,Panchagavya,Trichoderma,Leucaena
20,90,160,17.8,71.5,7.5,1053.5,jute,Jute+Rice,Vermicompost,Beauveria Bassiana,Subabul
100,88,68,34.6,76.3,5.0,560.5,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Panchagavya Extract,Neem
25,41,104,15.7,68.8,6.6,937.8,apple,Apple+Medicinal Plants,Farmyard Manure,Neem Oil,Neem
78,77,125,15.2,50.8,5.8,1008.1,rice,Rice+Sesbania,Forest Leaf Compost,Trichoderma,Sesbania
35,115,43,30.6,74.2,6.3,341.4,watermelon,Watermelon+Maize,Green Manure,Panchagavya Extract,Neem
54,119,70,23.8,44.6,5.6,910.0,cotton,Cotton+Turmeric,Forest Leaf Compost,Beauveria Bassiana,Acacia
89,15,109,32.3,58.4,6.6,754.6,cotton,Cotton+Turmeric,Green Manure,Neem + Soap,Gliricidia
27,29,127,17.2,45.6,4.5,666.6,blackgram,Blackgram+Maize,Neem Cake,Neem + Soap,Subabul
40,47,196,25.0,52.4,6.4,1210.3,papaya,Papaya+Drumstick,Vermicompost,Garlic-Chili Extract,Sesbania
39,62,41,19.9,35.5,7.4,1253.2,mungbean,Mungbean+Sorghum,Bio-slurry,Panchagavya Extract,Subabul
63,72,153,38.6,42.6,5.1,318.8,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Trichoderma,Neem
75,42,96,22.8,42.0,7.2,1957.0,mango,Mango+Turmeric,Farmyard Manure,Panchagavya Extract,Drumstick
62,49,62,39.2,81.3,6.2,1304.6,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Neem + Soap,Sesbania
14,21,80,18.1,60.7,8.5,1442.2,rice,Rice+Sesbania,Vermicompost,Neem Oil,Acacia
43,20,168,20.5,85.0,7.1,468.1,chickpea,Wheat+Gram,Vermicompost,Pseudomonas,Casuarina
106,68,165,38.6,85.6,6.1,1055.9,lentil,Lentil+Mustard,Farmyard Manure,Pseudomonas,Drumstick
11,11,43,36.9,73.7,6.4,1403.1,muskmelon,Muskmelon+Beans,Bio-slurry,Garlic-Chili Extract,Leucaena
72,53,160,34.2,32.2,8.4,416.9,apple,Apple+Medicinal Plants,Panchagavya,Panchagavya Extract,Gliricidia
138,50,61,20.1,38.8,6.7,1730.4,jute,Jute+Rice,Neem Cake,Garlic-Chili Extract,Leucaena
139,99,130,28.0,86.0,8.1,693.6,coconut,Coconut+Pineapple,Bio-slurry,Bt Spray,Leucaena
62,97,101,15.0,36.2,7.3,548.3,jute,Jute+Rice,Jeevamrutha,Neem Oil,Neem
20,55,125,32.7,56.2,4.6,1280.1,mothbeans,Mothbean+Castor,Vermicompost,Garlic-Chili Extract,Neem
19,55,173,26.5,60.8,7.3,860.2,maize,Maize+Beans,Jeevamrutha,Panchagavya Extract,Neem
70,26,197,28.1,57.1,5.0,1338.3,banana,Banana+Coffee,Jeevamrutha,Panchagavya Extract,Neem
91,9,98,35.4,64.3,6.0,1659.8,blackgram,Blackgram+Maize,Farmyard Manure,Neem Oil,Subabul
98,46,136,24.2,45.2,5.9,1437.7,maize,Maize+Beans,Neem Cake,Garlic-Chili Extract,Acacia
24,39,57,28.2,70.0,5.8,1521.7,pigeonpeas,Pigeon Pea+Millet,Green Manure,Panchagavya Extract,Drumstick
121,113,23,27.3,48.8,5.3,395.2,banana,Banana+Coffee,Vermicompost,Garlic-Chili Extract,Sesbania
48,71,184,33.6,78.0,8.2,1328.6,rice,Rice+Sesbania,Vermicompost,Trichoderma,Neem
115,16,163,35.6,63.6,4.7,700.0,cotton,Cotton+Turmeric,Bio-slurry,Neem Oil,Drumstick
132,90,50,15.1,72.8,6.5,1755.4,mango,Mango+Turmeric,Neem Cake,Beauveria Bassiana,Drumstick
104,22,72,29.7,31.2,6.0,556.5,apple,Apple+Medicinal Plants,Jeevamrutha,Neem Oil,Gliricidia
30,19,123,17.5,85.5,8.3,1920.3,watermelon,Watermelon+Maize,Bio-slurry,Neem Oil,Drumstick
86,26,19,22.2,74.4,4.6,1005.4,apple,Apple+Medicinal Plants,Forest Leaf Compost,Trichoderma,Acacia
104,11,16,18.2,33.4,6.6,1805.3,coffee,Coffee+Banana,Green Manure,Neem + Soap,Acacia
19,64,37,31.7,61.0,8.5,1015.4,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Neem Oil,Drumstick
33,49,126,15.2,84.6,8.5,493.1,orange,Orange+Spices,Bio-slurry,Bt Spray,Acacia
66,106,12,37.3,86.1,4.8,606.4,mango,Mango+Turmeric,Neem Cake,Neem Oil,Acacia
70,103,22,15.6,36.8,6.5,1038.1,grapes,Grapes+Legumes,Green Manure,Bt Spray,Neem
22,9,88,28.6,59.4,6.9,666.4,rice,Rice+Sesbania,Jeevamrutha,Pseudomonas,Acacia
55,88,94,27.8,53.9,5.1,1108.3,mango,Mango+Turmeric,Farmyard Manure,Pseudomonas,Leucaena
30,13,124,15.6,46.4,7.5,305.0,rice,Rice+Sesbania,Jeevamrutha,Bt Spray,Gliricidia
24,45,74,19.0,77.3,6.8,607.2,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Panchagavya Extract,Casuarina
25,27,42,34.9,88.3,7.6,1870.6,papaya,Papaya+Drumstick,Green Manure,Trichoderma,Subabul
20,10,127,27.1,58.3,6.3,1726.8,mothbeans,Mothbean+Castor,Neem Cake,Neem Oil,Neem
42,56,64,19.2,35.5,8.0,1071.8,pomegranate,Pomegranate+Marigold,Bio-slurry,Neem + Soap,Acacia
67,81,116,30.1,64.1,7.7,1586.3,rice,Rice+Sesbania,Vermicompost,Beauveria Bassiana,Acacia
92,16,80,25.1,54.3,7.1,982.4,orange,Orange+Spices,Vermicompost,Pseudomonas,Sesbania
94,92,66,24.0,58.9,8.1,494.5,pomegranate,Pomegranate+Marigold,Vermicompost,Beauveria Bassiana,Neem
64,56,188,20.5,66.6,5.0,1081.7,lentil,Lentil+Mustard,Panchagavya,Bt Spray,Subabul
97,55,153,16.8,64.2,7.7,1709.6,muskmelon,Muskmelon+Beans,Neem Cake,Panchagavya Extract,Drumstick
20,87,152,19.5,84.2,8.1,1109.9,watermelon,Watermelon+Maize,Farmyard Manure,Trichoderma,Drumstick
60,86,111,23.2,74.9,7.1,1743.5,coffee,Coffee+Banana,Panchagavya,Pseudomonas,Subabul
70,22,83,22.3,44.4,6.1,295.0,chickpea,Wheat+Gram,Forest Leaf Compost,Beauveria Bassiana,Leucaena
117,28,52,37.1,44.3,6.6,1062.7,mango,Mango+Turmeric,Panchagavya,Neem + Soap,Neem
64,19,88,35.5,85.4,6.3,486.9,lentil,Lentil+Mustard,Panchagavya,Pseudomonas,Casuarina
136,57,171,15.5,84.7,5.6,561.6,mango,Mango+Turmeric,Green Manure,Pseudomonas,Leucaena
136,58,132,20.3,74.1,4.6,1660.1,cotton,Cotton+Turmeric,Farmyard Manure,Bt Spray,Gliricidia
39,74,71,19.5,45.7,6.9,1916.2,coconut,Coconut+Pineapple,Forest Leaf Compost,Garlic-Chili Extract,Subabul
120,68,28,22.8,41.1,7.3,660.1,blackgram,Blackgram+Maize,Vermicompost,Bt Spray,Acacia
55,82,108,29.0,51.2,7.2,254.1,papaya,Papaya+Drumstick,Farmyard Manure,Trichoderma,Neem
63,44,77,35.2,73.8,7.3,842.6,coffee,Coffee+Banana,Jeevamrutha,Beauveria Bassiana,Neem
136,110,116,30.5,75.1,7.0,1390.3,cotton,Cotton+Turmeric,Vermicompost,Bt Spray,Gliricidia
95,6,174,22.9,61.5,7.5,1881.5,rice,Rice+Sesbania,Jeevamrutha,Garlic-Chili Extract,Gliricidia
94,31,111,27.3,67.4,8.5,1827.1,jute,Jute+Rice,Panchagavya,Neem + Soap,Subabul
75,24,92,38.1,70.7,6.3,503.3,apple,Apple+Medicinal Plants,Neem Cake,Pseudomonas,Neem
106,88,141,22.4,30.6,4.7,391.1,cotton,Cotton+Turmeric,Panchagavya,Trichoderma,Acacia
125,104,62,34.7,88.9,6.3,1472.4,mungbean,Mungbean+Sorghum,Forest Leaf Compost,Trichoderma,Casuarina
17,54,56,33.8,31.8,6.1,1960.7,banana,Banana+Coffee,Neem Cake,Neem + Soap,Casuarina
48,19,143,34.1,48.5,5.5,435.7,kidneybeans,Beans+Maize,Green Manure,Neem Oil,Neem
35,80,116,17.3,67.1,7.7,581.3,kidneybeans,Beans+Maize,Bio-slurry,Neem Oil,Casuarina
31,98,115,37.9,88.2,5.8,429.3,rice,Rice+Sesbania,Green Manure,Garlic-Chili Extract,Casuarina
49,27,90,31.6,76.8,7.6,1498.9,mothbeans,Mothbean+Castor,Green Manure,Trichoderma,Gliricidia
73,5,14,33.1,39.5,6.0,476.9,pigeonpeas,Pigeon Pea+Millet,Panchagavya,Beauveria Bassiana,Neem
118,90,127,35.7,32.9,6.9,571.5,mango,Mango+Turmeric,Forest Leaf Compost,Bt Spray,Drumstick
27,108,22,18.8,42.2,8.0,815.9,papaya,Papaya+Drumstick,Forest Leaf Compost,Panchagavya Extract,Gliricidia
57,23,29,22.5,84.5,6.9,1585.6,apple,Apple+Medicinal Plants,Jeevamrutha,Neem Oil,Neem
70,32,94,15.0,38.5,5.5,402.8,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Pseudomonas,Drumstick
126,83,194,29.7,61.8,4.6,1436.5,coffee,Coffee+Banana,Jeevamrutha,Garlic-Chili Extract,Subabul
132,73,45,24.8,54.0,6.5,972.7,jute,Jute+Rice,Bio-slurry,Neem + Soap,Leucaena
125,28,105,38.8,39.1,7.0,1070.9,mango,Mango+Turmeric,Forest Leaf Compost,Bt Spray,Sesbania
27,8,52,34.2,67.5,7.7,459.4,apple,Apple+Medicinal Plants,Green Manure,Garlic-Chili Extract,Leucaena
90,85,126,31.5,38.0,5.3,891.3,muskmelon,Muskmelon+Beans,Bio-slurry,Panchagavya Extract,Acacia
38,118,185,31.7,43.6,7.8,1668.5,orange,Orange+Spices,Panchagavya,Panchagavya Extract,Neem
22,20,134,23.5,36.5,6.9,861.2,mango,Mango+Turmeric,Jeevamrutha,Neem + Soap,Gliricidia
53,80,132,25.4,55.5,5.0,1043.4,pigeonpeas,Pigeon Pea+Millet,Bio-slurry,Beauveria Bassiana,Sesbania
20,119,195,21.0,30.4,5.3,1315.1,mothbeans,Mothbean+Castor,Farmyard Manure,Beauveria Bassiana,Acacia
22,111,167,29.4,38.5,7.7,1271.2,kidneybeans,Beans+Maize,Farmyard Manure,Bt Spray,Acacia
33,47,111,34.4,53.8,6.0,1215.9,watermelon,Watermelon+Maize,Green Manure,Trichoderma,Subabul
91,112,49,23.6,31.0,6.4,315.7,grapes,Grapes+Legumes,Jeevamrutha,Pseudomonas,Leucaena
86,53,192,21.8,64.6,8.4,317.0,mungbean,Mungbean+Sorghum,Vermicompost,Neem Oil,Drumstick
78,108,154,24.8,82.2,4.9,1068.1,maize,Maize+Beans,Panchagavya,Neem + Soap,Gliricidia
76,88,99,29.7,31.1,5.8,274.1,muskmelon,Muskmelon+Beans,Jeevamrutha,Beauveria Bassiana,Neem
31,32,101,15.0,51.6,7.0,1710.4,kidneybeans,Beans+Maize,Jeevamrutha,Garlic-Chili Extract,Neem
135,50,115,32.8,76.9,7.9,1879.3,mothbeans,Mothbean+Castor,Jeevamrutha,Panchagavya Extract,Subabul
73,58,183,18.4,49.1,4.7,656.2,maize,Maize+Beans,Neem Cake,Trichoderma,Subabul
97,98,103,36.1,43.1,5.7,1660.2,jute,Jute+Rice,Bio-slurry,Beauveria Bassiana,Acacia
107,114,136,27.3,39.4,4.8,747.6,papaya,Papaya+Drumstick,Farmyard Manure,Beauveria Bassiana,Leucaena
108,28,150,31.2,34.0,8.3,1658.5,cotton,Cotton+Turmeric,Jeevamrutha,Trichoderma,Subabul
130,19,34,19.6,41.8,6.6,808.5,lentil,Lentil+Mustard,Jeevamrutha,Trichoderma,Neem
11,53,45,27.1,56.8,8.2,773.2,pigeonpeas,Pigeon Pea+Millet,Vermicompost,Neem Oil,Subabul
69,58,105,38.9,79.6,5.7,1328.5,pigeonpeas,Pigeon Pea+Millet,Bio-slurry,Garlic-Chili Extract,Leucaena
25,44,166,15.5,69.7,6.9,843.7,coffee,Coffee+Banana,Vermicompost,Beauveria Bassiana,Leucaena
24,43,55,19.3,86.2,4.9,323.0,mango,Mango+Turmeric,Forest Leaf Compost,Trichoderma,Leucaena
75,30,96,27.8,41.7,6.8,961.5,mango,Mango+Turmeric,Bio-slurry,Panchagavya Extract,Sesbania
56,48,44,39.7,76.1,7.0,1400.0,grapes,Grapes+Legumes,Forest Leaf Compost,Beauveria Bassiana,Drumstick
75,75,29,37.5,39.6,5.8,1538.5,rice,Rice+Sesbania,Farmyard Manure,Trichoderma,Neem
74,21,95,18.7,70.9,7.3,1062.3,watermelon,Watermelon+Maize,Vermicompost,Neem + Soap,Subabul
89,102,100,39.8,46.9,5.4,1846.4,muskmelon,Muskmelon+Beans,Panchagavya,Trichoderma,Leucaena
84,106,122,25.9,88.4,8.4,715.7,jute,Jute+Rice,Panchagavya,Trichoderma,Drumstick
14,72,78,33.9,35.7,5.1,240.5,pigeonpeas,Pigeon Pea+Millet,Vermicompost,Trichoderma,Sesbania
28,115,66,38.0,32.5,4.6,794.7,mungbean,Mungbean+Sorghum,Bio-slurry,Panchagavya Extract,Sesbania
14,70,141,35.9,44.6,6.7,1391.8,coconut,Coconut+Pineapple,Vermicompost,Garlic-Chili Extract,Sesbania
117,99,33,29.5,82.1,5.8,1847.6,grapes,Grapes+Legumes,Panchagavya,Neem Oil,Subabul
10,74,100,25.5,68.9,7.5,271.4,grapes,Grapes+Legumes,Farmyard Manure,Neem + Soap,Subabul
109,108,127,16.9,77.8,7.3,1878.8,kidneybeans,Beans+Maize,Farmyard Manure,Beauveria Bassiana,Acacia
119,64,30,29.1,42.6,4.9,1496.6,pomegranate,Pomegranate+Marigold,Vermicompost,Neem Oil,Leucaena
122,18,89,28.3,87.4,6.0,1566.3,mothbeans,Mothbean+Castor,Neem Cake,Pseudomonas,Neem
97,76,150,26.1,60.4,6.9,1536.4,maize,Maize+Beans,Farmyard Manure,Panchagavya Extract,Subabul
83,74,165,33.0,77.2,8.3,424.0,orange,Orange+Spices,Panchagavya,Neem Oil,Neem
78,28,97,32.3,81.7,7.9,476.2,jute,Jute+Rice,Farmyard Manure,Neem + Soap,Gliricidia
32,114,58,35.7,81.4,6.3,768.1,mungbean,Mungbean+Sorghum,Farmyard Manure,Neem + Soap,Leucaena
119,78,86,27.0,60.3,6.9,1215.7,banana,Banana+Coffee,Jeevamrutha,Pseudomonas,Gliricidia
131,21,118,38.2,82.8,6.5,690.1,lentil,Lentil+Mustard,Bio-slurry,Panchagavya Extract,Casuarina
10,28,72,35.8,77.5,6.8,1674.7,banana,Banana+Coffee,Farmyard Manure,Neem Oil,Subabul
59,113,190,25.0,62.9,7.4,1365.0,grapes,Grapes+Legumes,Green Manure,Garlic-Chili Extract,Casuarina
33,94,25,38.4,47.0,7.0,625.3,maize,Maize+Beans,Vermicompost,Beauveria Bassiana,Sesbania
56,59,39,29.5,52.1,6.5,1241.8,banana,Banana+Coffee,Jeevamrutha,Bt Spray,Gliricidia
79,52,88,35.1,35.7,6.1,772.2,rice,Rice+Sesbania,Panchagavya,Garlic-Chili Extract,Subabul
110,71,196,31.3,72.8,6.7,958.2,mango,Mango+Turmeric,Jeevamrutha,Panchagavya Extract,Subabul
105,85,89,29.3,52.0,7.5,1465.1,coconut,Coconut+Pineapple,Vermicompost,Trichoderma,Subabul
33,43,147,25.9,59.7,7.4,913.4,mothbeans,Mothbean+Castor,Farmyard Manure,Garlic-Chili Extract,Subabul
94,10,29,22.1,50.8,7.0,1492.1,watermelon,Watermelon+Maize,Jeevamrutha,Garlic-Chili Extract,Casuarina
119,49,83,35.0,32.9,6.1,1914.8,mango,Mango+Turmeric,Panchagavya,Pseudomonas,Casuarina
40,112,22,24.3,44.2,5.0,762.8,watermelon,Watermelon+Maize,Bio-slurry,Bt Spray,Drumstick
69,107,43,15.8,73.7,7.6,412.4,papaya,Papaya+Drumstick,Vermicompost,Bt Spray,Drumstick
46,52,185,19.0,52.5,5.5,354.2,kidneybeans,Beans+Maize,Panchagavya,Garlic-Chili Extract,Leucaena
47,77,146,17.4,43.5,5.4,750.3,banana,Banana+Coffee,Forest Leaf Compost,Beauveria Bassiana,Neem
43,38,176,22.4,61.9,6.5,1134.1,cotton,Cotton+Turmeric,Vermicompost,Neem + Soap,Sesbania
70,105,117,23.8,43.9,7.9,1849.8,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Garlic-Chili Extract,Subabul
117,10,141,34.2,44.3,8.2,1733.1,kidneybeans,Beans+Maize,Farmyard Manure,Pseudomonas,Sesbania
92,96,129,35.3,59.9,7.8,1910.0,blackgram,Blackgram+Maize,Bio-slurry,Beauveria Bassiana,Neem
71,46,53,31.5,61.8,4.8,1020.8,blackgram,Blackgram+Maize,Green Manure,Panchagavya Extract,Subabul
38,86,60,15.7,85.9,8.3,1439.3,apple,Apple+Medicinal Plants,Vermicompost,Garlic-Chili Extract,Subabul
102,23,66,25.0,34.5,6.7,729.5,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Trichoderma,Subabul
30,22,66,29.3,84.8,8.3,1759.8,jute,Jute+Rice,Green Manure,Bt Spray,Leucaena
29,26,102,34.1,58.6,5.5,479.1,rice,Rice+Sesbania,Vermicompost,Panchagavya Extract,Sesbania
72,28,120,23.2,56.5,4.6,334.0,papaya,Papaya+Drumstick,Forest Leaf Compost,Beauveria Bassiana,Casuarina
125,78,91,29.2,46.7,5.6,1452.9,pomegranate,Pomegranate+Marigold,Vermicompost,Pseudomonas,Subabul
23,55,186,35.1,41.8,8.3,1396.2,blackgram,Blackgram+Maize,Vermicompost,Garlic-Chili Extract,Casuarina
109,20,171,18.3,46.9,5.2,1074.1,rice,Rice+Sesbania,Bio-slurry,Panchagavya Extract,Drumstick
65,38,68,26.8,50.6,4.6,736.4,jute,Jute+Rice,Jeevamrutha,Beauveria Bassiana,Gliricidia
123,22,191,36.6,72.1,7.4,597.5,orange,Orange+Spices,Farmyard Manure,Beauveria Bassiana,Gliricidia
62,77,15,37.2,65.8,8.1,596.8,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Garlic-Chili Extract,Neem
36,80,184,23.2,79.9,4.6,1622.1,mothbeans,Mothbean+Castor,Jeevamrutha,Garlic-Chili Extract,Drumstick
40,51,21,24.7,60.1,8.5,1744.0,muskmelon,Muskmelon+Beans,Farmyard Manure,Beauveria Bassiana,Neem
13,51,149,36.0,84.9,4.7,1727.0,banana,Banana+Coffee,Panchagavya,Pseudomonas,Acacia
74,74,163,24.0,71.9,6.1,725.0,orange,Orange+Spices,Farmyard Manure,Neem + Soap,Sesbania
134,116,84,23.3,46.0,4.7,1757.0,muskmelon,Muskmelon+Beans,Bio-slurry,Beauveria Bassiana,Leucaena
125,50,167,33.5,65.5,8.1,892.0,mothbeans,Mothbean+Castor,Forest Leaf Compost,Panchagavya Extract,Drumstick
130,83,169,27.1,68.0,5.5,552.7,maize,Maize+Beans,Bio-slurry,Neem + Soap,Drumstick
90,46,111,27.7,49.4,5.0,860.3,watermelon,Watermelon+Maize,Vermicompost,Panchagavya Extract,Casuarina
124,34,197,30.1,75.9,7.1,398.9,muskmelon,Muskmelon+Beans,Jeevamrutha,Panchagavya Extract,Neem
91,48,128,37.6,85.2,6.0,1873.8,kidneybeans,Beans+Maize,Farmyard Manure,Neem + Soap,Casuarina
41,28,73,33.4,43.4,6.1,758.0,orange,Orange+Spices,Neem Cake,Trichoderma,Acacia
109,73,175,37.5,31.7,7.4,1996.6,jute,Jute+Rice,Bio-slurry,Panchagavya Extract,Neem
83,16,45,34.0,76.2,6.5,1445.5,mungbean,Mungbean+Sorghum,Farmyard Manure,Beauveria Bassiana,Drumstick
124,69,34,20.4,78.5,7.7,1768.7,banana,Banana+Coffee,Forest Leaf Compost,Bt Spray,Sesbania
17,60,26,30.8,53.2,4.6,228.6,blackgram,Blackgram+Maize,Vermicompost,Neem Oil,Gliricidia
89,106,23,32.6,87.1,8.2,1508.8,orange,Orange+Spices,Jeevamrutha,Neem + Soap,Subabul
54,99,90,35.6,30.9,7.7,1875.0,coconut,Coconut+Pineapple,Neem Cake,Neem + Soap,Casuarina
36,110,48,24.2,48.9,5.5,969.3,cotton,Cotton+Turmeric,Vermicompost,Bt Spray,Subabul
110,34,82,19.4,33.9,6.7,835.1,kidneybeans,Beans+Maize,Panchagavya,Beauveria Bassiana,Subabul
81,68,10,35.7,74.6,7.8,773.0,kidneybeans,Beans+Maize,Panchagavya,Panchagavya Extract,Leucaena
60,55,47,35.9,73.7,6.7,1169.1,watermelon,Watermelon+Maize,Vermicompost,Bt Spray,Neem
101,66,195,27.1,56.7,6.4,244.4,chickpea,Wheat+Gram,Green Manure,Neem Oil,Subabul
73,109,108,17.4,38.8,7.2,839.8,blackgram,Blackgram+Maize,Neem Cake,Trichoderma,Leucaena
86,9,191,30.7,42.4,8.0,212.0,chickpea,Wheat+Gram,Neem Cake,Trichoderma,Acacia
108,36,163,16.5,40.4,6.8,1519.6,mothbeans,Mothbean+Castor,Neem Cake,Neem Oil,Gliricidia
92,29,100,38.5,30.6,6.4,984.9,watermelon,Watermelon+Maize,Farmyard Manure,Trichoderma,Subabul
119,117,120,39.9,66.9,5.2,1673.0,mungbean,Mungbean+Sorghum,Panchagavya,Garlic-Chili Extract,Neem
60,117,54,23.0,44.0,5.6,1032.9,jute,Jute+Rice,Farmyard Manure,Trichoderma,Drumstick
46,33,118,37.0,56.0,5.1,973.0,rice,Rice+Sesbania,Neem Cake,Panchagavya Extract,Sesbania
39,26,175,25.9,42.1,6.5,1097.1,mungbean,Mungbean+Sorghum,Vermicompost,Beauveria Bassiana,Casuarina
90,67,124,23.6,57.7,8.0,273.0,maize,Maize+Beans,Farmyard Manure,Trichoderma,Drumstick
55,98,123,25.8,85.2,6.2,398.5,pomegranate,Pomegranate+Marigold,Panchagavya,Pseudomonas,Leucaena
118,85,169,38.7,62.8,6.4,845.5,jute,Jute+Rice,Green Manure,Pseudomonas,Gliricidia
26,64,39,22.6,76.5,5.1,1341.7,chickpea,Wheat+Gram,Green Manure,Garlic-Chili Extract,Casuarina
100,107,143,30.7,78.0,8.4,412.3,jute,Jute+Rice,Jeevamrutha,Beauveria Bassiana,Acacia
127,74,24,28.9,59.8,4.8,381.4,banana,Banana+Coffee,Neem Cake,Pseudomonas,Casuarina
62,97,133,15.5,35.4,5.7,1357.3,papaya,Papaya+Drumstick,Neem Cake,Bt Spray,Sesbania
43,58,124,28.8,69.9,7.1,634.5,grapes,Grapes+Legumes,Farmyard Manure,Trichoderma,Leucaena
108,43,43,28.4,54.0,6.7,768.4,kidneybeans,Beans+Maize,Neem Cake,Garlic-Chili Extract,Subabul
68,23,187,28.7,43.7,7.7,209.8,rice,Rice+Sesbania,Farmyard Manure,Neem + Soap,Neem
34,79,141,38.7,59.7,8.3,289.9,chickpea,Wheat+Gram,Jeevamrutha,Beauveria Bassiana,Sesbania
128,64,196,37.5,70.5,5.6,658.9,coffee,Coffee+Banana,Green Manure,Garlic-Chili Extract,Gliricidia
70,30,177,22.9,87.1,8.5,626.1,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Garlic-Chili Extract,Sesbania
112,11,182,33.4,33.9,6.4,1862.3,maize,Maize+Beans,Farmyard Manure,Pseudomonas,Acacia
26,54,182,16.2,80.2,6.1,1853.9,jute,Jute+Rice,Jeevamrutha,Garlic-Chili Extract,Acacia
92,104,70,21.6,78.7,6.0,1319.3,muskmelon,Muskmelon+Beans,Green Manure,Panchagavya Extract,Neem
